produit,code-barres,categorie,sous_categorie,justification
BIO BALANCE SS ACID HYALURONIQ MULTI MOLECUL 30ML,000032444,Soins du visage,Sérums,"« SS ACID HYALURONIQ MULTI MOLECUL 30ML » = sérum acide hyaluronique, format 30ML typique sérum visage (proposition validée par le client, confiance : Moyenne)"
DM HUILE CLOU DE GIROFLE 60ML,000031173,Soins du corps,Huiles corps,"mention « huile » (rayon PDF « HC-DEF » = bac alphabétique de rangement, non pertinent pour la catégorie)"
DM HUIL AVOCAT BIO FL 60ML,000031710,Soins du corps,Huiles corps,"« HUIL AVOCAT BIO FL 60ML » — même gamme que « DM (D) HUILE D ARGAN 60ML » déjà classée en huile corps ; non détecté ici car « HUIL » sans le « E » final (proposition validée par le client, confiance : Moyenne)"
DERMOWHIT CREM NUIT CLARIFIANT HYD 50G,000033059,Soins du visage,Crèmes visage,"mention « visage / crème jour-nuit » (rayon PDF « HC-DEF » = bac alphabétique de rangement, non pertinent pour la catégorie)"
DUCRAY KERACNYL 50+FLUIDE CR T/50ML,000032620,Soins du visage,Soins ciblés (imperfections/acné),"gamme dermo-cosmétique anti-imperfections/acné (rayon PDF « HC-DEF » = bac alphabétique de rangement, non pertinent pour la catégorie)"
DOVE LAIT INTENSE CARE FL/400ML,000031888,Soins du corps,Laits & crèmes corps,"mention crème/lait/lotion/fluide (forme générique, sans autre précision) (rayon PDF « HC-DEF » = bac alphabétique de rangement, non pertinent pour la catégorie)"
EUCERIN CREME SOLAIRE OIL/ACNE CONTROL 50ML,000033096,Solaires,,"mention SPF/solaire/après-soleil (rayon PDF « HC-DEF » = bac alphabétique de rangement, non pertinent pour la catégorie)"
EVA CREME PIEDS,000026804,Soins du corps,Laits & crèmes corps,"mention crème/lait/lotion/fluide (forme générique, sans autre précision) (rayon PDF « HC-DEF » = bac alphabétique de rangement, non pertinent pour la catégorie)"
DOVE LAITINTENSE CARE /250ML,000026970,Soins du corps,Laits & crèmes corps,"« LAITINTENSE CARE » = « LAIT INTENSE CARE » accolé sans espace — variante 250ML du produit Dove 400ML déjà classé en lait corps (proposition validée par le client, confiance : Élevée)"
DOVE LAIT ESSENTIEL CARE/250ML,000026975,Soins du corps,Laits & crèmes corps,"mention crème/lait/lotion/fluide (forme générique, sans autre précision) (rayon PDF « HC-DEF » = bac alphabétique de rangement, non pertinent pour la catégorie)"
DEPIWHITE (S) ACM CONTOUR YEUX 15ML,000021993,Soins du visage,Contour des yeux,"mention « contour des yeux » (rayon PDF « HC-DEF » = bac alphabétique de rangement, non pertinent pour la catégorie)"
DOVE SAVON BEAUTY CRM BAR 90G,000026977,Hygiène & savons,Savons solides,"mention « savon » (rayon PDF « HC-DEF » = bac alphabétique de rangement, non pertinent pour la catégorie)"
EASY ROSE CREME DEPILATOIRE T/120ML,000031914,Rasage & dépilation,,"mention « raser / dépilatoire » (rayon PDF « HC-DEF » = bac alphabétique de rangement, non pertinent pour la catégorie)"
DEPIWHITE (S-U) LAIT CORPS •CLAI 500ML,000026819,Soins du corps,Laits & crèmes corps,"mention « lait / crème corps / lotion » (rayon PDF « HC-DEF » = bac alphabétique de rangement, non pertinent pour la catégorie)"
DOVE SAVON REFRESHING 90G,000026978,Hygiène & savons,Savons solides,"mention « savon » (rayon PDF « HC-DEF » = bac alphabétique de rangement, non pertinent pour la catégorie)"
DOVE SAVON PAMPERING 90G,000026980,Hygiène & savons,Savons solides,"mention « savon » (rayon PDF « HC-DEF » = bac alphabétique de rangement, non pertinent pour la catégorie)"
DEXERYL CRM TUBE 250G,000020829,Soins du corps,Laits & crèmes corps,"mention crème/lait/lotion/fluide (forme générique, sans autre précision) (rayon PDF « HC-DEF » = bac alphabétique de rangement, non pertinent pour la catégorie)"
DUCRAY (S) KERACNYL GEL/400ML,000023127,Soins du visage,Soins ciblés (imperfections/acné),"gamme dermo-cosmétique anti-imperfections/acné (rayon PDF « HC-DEF » = bac alphabétique de rangement, non pertinent pour la catégorie)"
DUCRAY (S-D) KERACNYL PP CRM/30ML,000023992,Soins du visage,Soins ciblés (imperfections/acné),"gamme dermo-cosmétique anti-imperfections/acné (rayon PDF « HC-DEF » = bac alphabétique de rangement, non pertinent pour la catégorie)"
DUCRAY ANAPHASE APRES SHAMP 200ML,000023750,Soins capillaires,Shampoings & après-shampoings,"mention « shampoing » (rayon PDF « HC-DEF » = bac alphabétique de rangement, non pertinent pour la catégorie)"
DM HUIL RICIN,000032087,Soins du corps,Huiles corps,"« HUIL RICIN » suit exactement le même format « DM HUIL(E) + ingrédient, 60ML » que 4 autres huiles DM déjà classées Soins du corps > Huiles corps dans ce catalogue (Clou de Girofle, Avocat Bio, Argan, Coco) — forte cohérence interne de gamme (proposition validée par le client, confiance : Moyenne)"
DM (D) HUILE D ARGAN 60ML,000026904,Soins du corps,Huiles corps,"mention « huile » (rayon PDF « HC-DEF » = bac alphabétique de rangement, non pertinent pour la catégorie)"
DM (D) HUILE DE COCO 60ML,000023574,Soins du corps,Huiles corps,"mention « huile » (rayon PDF « HC-DEF » = bac alphabétique de rangement, non pertinent pour la catégorie)"
DOVE SAVON COCONUT 90G,000031500,Hygiène & savons,Savons solides,"mention « savon » (rayon PDF « HC-DEF » = bac alphabétique de rangement, non pertinent pour la catégorie)"
DAM NATUR HUIL POUSS CHEVEUX 125MML,000023862,Soins capillaires,Huiles & soins cheveux,"mention cheveux/pousse cheveux (rayon PDF « HC-DEF » = bac alphabétique de rangement, non pertinent pour la catégorie)"
DAM NATUR HUIL POUSS RAPID BAR B30ML,000023863,Rasage & dépilation,Soins de la barbe,"« HUIL POUSS RAPID BARB30ML » = huile pousse rapide barbe, « BARB » = barbe explicite ; le produit sœur « HUIL POUSS CHEVEUX » de la même marque est déjà classé en soins capillaires (proposition validée par le client, confiance : Moyenne)"
FAIR WHITE CREME GOLD,000031508,Soins du corps,Laits & crèmes corps,"mention crème/lait/lotion/fluide (forme générique, sans autre précision) (rayon PDF « HC-DEF » = bac alphabétique de rangement, non pertinent pour la catégorie)"
BABYMED LAIT DE TOILETTE 200ML,000025948,Bébé & maternité,,"produit/marque bébé (BB, Baby, Biolane, Babymed, Corine de Farm, lingettes) (rayon PDF « HC-DIVERS »)"
FLEUR DE BAIN GM,000027782,Accessoires,,"« FLEUR DE BAIN » = accessoire de bain (pouf/éponge), cohérent avec les autres poufs de bain déjà classés en Accessoires (proposition validée par le client, confiance : Élevée)"
MINOXIDIL CPF 5% COFF 3X60ML,000028695,Soins capillaires,Traitements capillaires,mention « Minoxidil » (traitement anti-chute) (rayon PDF « HC-DIVERS »)
CERAVE LAIT HYDRATANT FL236ML,000031558,Soins du corps,Laits & crèmes corps,mention « lait / crème corps / lotion » (rayon PDF « HC-DIVERS »)
LAINO SAVON MARSEIL 150G,000028160,Hygiène & savons,Savons solides,mention « savon » (rayon PDF « HC-DIVERS »)
NEUTROGENA FORM NORV LAIT APAIS ET REPAR 250ML,000023937,Soins du corps,Laits & crèmes corps,"mention crème/lait/lotion/fluide (forme générique, sans autre précision) (rayon PDF « HC-DIVERS »)"
COFFRET BIOLANE,000031415,Bébé & maternité,,"produit/marque bébé (BB, Baby, Biolane, Babymed, Corine de Farm, lingettes) (rayon PDF « HC-DIVERS »)"
SVR SEBIACLEAR ACTIV+RENO GEL CREM 40L,000023741,Soins du visage,Soins ciblés (imperfections/acné),gamme dermo-cosmétique anti-imperfections/acné (rayon PDF « HC-DIVERS »)
COTON TIGE BB B/56,000023502,Bébé & maternité,,"produit/marque bébé (BB, Baby, Biolane, Babymed, Corine de Farm, lingettes) (rayon PDF « HC-DIVERS »)"
CICAPLAST (S) LEVRES 7.5ML,000026543,Soins du visage,Soins ciblés (imperfections/acné),gamme dermo-cosmétique anti-imperfections/acné (rayon PDF « HC-DIVERS »)
LRP EFFACLAR K+ S RENO 40ML,000028411,Soins du visage,Soins ciblés (imperfections/acné),gamme dermo-cosmétique anti-imperfections/acné (rayon PDF « HC-DIVERS »)
COTON DISQUES A DEMAQ CLEAQ S/100D,000026717,Accessoires,,"accessoire (coton-tige, disque démaquillant, peigne, pouf de bain) (rayon PDF « HC-DIVERS »)"
COTON TIGE AD,000023501,Accessoires,,"accessoire (coton-tige, disque démaquillant, peigne, pouf de bain) (rayon PDF « HC-DIVERS »)"
LAINO STICK LEVRE CIRE D'ABEILLE 4G,000031448,Soins du visage,Baumes à lèvres,mention « lèvres / baume à lèvres » (rayon PDF « HC-DIVERS »)
WILLIAMS MOUSSE A RASER SENSIBLE 200ML,000030944,Rasage & dépilation,,mention « raser / dépilatoire » (rayon PDF « HC-DIVERS »)
DM CR RAFFERMMIS ET GROSSIS FEN,000023868,Soins du corps,Raffermissants corps,"« CR RAFFERMMIS ET GROSSIS FEN » — « FEN » vraisemblablement tronqué de « FESSIER » (même famille que le produit BUM BUM raffermissant fessier), mais non certain à 100% (proposition validée par le client, confiance : Moyenne)"
EVOLUDERM CRM MAIN NOURISST BEURRE DE CACAO T/150,000027176,Soins du corps,Laits & crèmes corps,"mention crème/lait/lotion/fluide (forme générique, sans autre précision) (rayon PDF « HC-EVOL »)"
EVOLUDERM GOMMAGE EXF PECHE 150ML,000027189,Soins du corps,Gommages & exfoliants,mention « gommage / exfoliant » (rayon PDF « HC-EVOL »)
EVOLUDERM LAIT ACTION TACHE 500ML,000027194,Soins du corps,Laits & crèmes corps,"mention crème/lait/lotion/fluide (forme générique, sans autre précision) (rayon PDF « HC-EVOL »)"
EVOLUDERM LAIT EXTRA FORT 500ML,000027195,Soins du corps,Laits & crèmes corps,"mention crème/lait/lotion/fluide (forme générique, sans autre précision) (rayon PDF « HC-EVOL »)"
EVOLUDERM LAIT HYDRAT MONOI 500ML,000023467,Soins du corps,Laits & crèmes corps,mention « lait / crème corps / lotion » (rayon PDF « HC-EVOL »)
EVOLUDERM LAIT OVER BOOST 500ML,000027198,Soins du corps,Laits & crèmes corps,"mention crème/lait/lotion/fluide (forme générique, sans autre précision) (rayon PDF « HC-EVOL »)"
EVOLUDERM LAIT TRES FORT 500ML,000027200,Soins du corps,Laits & crèmes corps,"mention crème/lait/lotion/fluide (forme générique, sans autre précision) (rayon PDF « HC-EVOL »)"
EVOLUDERM MASQUE DOUX CONCOMBRE 150ML,000027202,Soins du visage,Masques visage,"« MASQUE DOUX CONCOMBRE » = masque visage au concombre, explicite (proposition validée par le client, confiance : Élevée)"
EVOLUDERM MASQUE PURIF ARGILE 150ML,000027205,Soins du visage,Masques visage,"« MASQUE PURIF ARGILE » = masque visage purifiant à l'argile, explicite (proposition validée par le client, confiance : Élevée)"
EVOLUDERM GEL DOUCHE AMANDE 500ML,000032968,Hygiène & savons,Gels & huiles de douche,mention « gel douche / huile de douche » (rayon PDF « HC-EVOL »)
EVOLUDERM GEL DOUCHE ARGAN 500ML,000032969,Hygiène & savons,Gels & huiles de douche,mention « gel douche / huile de douche » (rayon PDF « HC-EVOL »)
EVOLUDERM GEL DOUCHE HUILE PRECIEUSE 500ML,000032970,Hygiène & savons,Gels & huiles de douche,mention « gel douche / huile de douche » (rayon PDF « HC-EVOL »)
EVOLUDERM GEL DOUCHE FLEUR D'ORANGER 500ML,000032971,Hygiène & savons,Gels & huiles de douche,mention « gel douche / huile de douche » (rayon PDF « HC-EVOL »)
FRANCOISE BEDON SAVON PUISSANCE,000031538,Hygiène & savons,Savons solides,mention « savon » (rayon PDF « HC- FR BE »)
FRANCOISE BEDON SAVON ROYAL,000031539,Hygiène & savons,Savons solides,mention « savon » (rayon PDF « HC- FR BE »)
FRANCOISE BEDON CRM PUISSANCE,000031541,Soins du corps,Laits & crèmes corps,"mention crème/lait/lotion/fluide (forme générique, sans autre précision) (rayon PDF « HC- FR BE »)"
FRANCOISE BEDON CRM SUPREME,000031542,Soins du corps,Laits & crèmes corps,"mention crème/lait/lotion/fluide (forme générique, sans autre précision) (rayon PDF « HC- FR BE »)"
FRANCOISE BEDON SERUM SUPREME,000031543,Soins du visage,Sérums,mention « sérum » (rayon PDF « HC- FR BE »)
FRANCOISE BEDON SERUM ULTIME CAROTTE LUXE,000031545,Soins du visage,Sérums,mention « sérum » (rayon PDF « HC- FR BE »)
FRANCOISE BEDON CRM ULTIME GOLD OR LUXE,000031546,Soins du corps,Laits & crèmes corps,"mention crème/lait/lotion/fluide (forme générique, sans autre précision) (rayon PDF « HC- FR BE »)"
FRANCOISE BEDON LAIT ECL CAROTTE 500ML,000031562,Soins du corps,Soins éclaircissants / anti-taches,mention « anti-tache / éclaircissant (ECL) / unifiant » (rayon PDF « HC- FR BE »)
FRANCOISE BEDON LAIT ECL PUISSANCE,000031666,Soins du corps,Soins éclaircissants / anti-taches,mention « anti-tache / éclaircissant (ECL) / unifiant » (rayon PDF « HC- FR BE »)
FRANCOISE BEDON LAIT ECLA ROYAL,000031667,Soins du corps,Laits & crèmes corps,"mention crème/lait/lotion/fluide (forme générique, sans autre précision) (rayon PDF « HC- FR BE »)"
GENSKIN LOTIONHYDRVISAGE/CORPS T/225ML,000024141,Soins du corps,Laits & crèmes corps,mention « lait / crème corps / lotion » (rayon PDF « HC-GENS »)
GENSKIN CRM ECLAT NOURIS 250G,000022078,Soins du corps,Laits & crèmes corps,"mention crème/lait/lotion/fluide (forme générique, sans autre précision) (rayon PDF « HC-GENS »)"
GENSKIN CRM EMOLLIENTE 250G,000020939,Soins du corps,Laits & crèmes corps,"mention crème/lait/lotion/fluide (forme générique, sans autre précision) (rayon PDF « HC-GENS »)"
GENSKIN SAVON EXF. ALOE&KARITE/150G,000021617,Hygiène & savons,Savons solides,mention « savon » (rayon PDF « HC-GENS »)
GENSKIN SOLAIRE SPF50+ CRM 50G,000023950,Solaires,,mention SPF/solaire/après-soleil (rayon PDF « HC-GENS »)
GENSKIN(L) SAVON PUR. CHARBON/150G,000020962,Hygiène & savons,Savons solides,mention « savon » (rayon PDF « HC-GENS »)
GENSKIN LOTION HYDR VISAGE/CORPS T/450ML,000033099,Soins du corps,Laits & crèmes corps,mention « lait / crème corps / lotion » (rayon PDF « HC-GENS »)
GENSKIN EXFOL CREME VISAGE CHARBON 100G,000032737,Soins du visage,Crèmes visage,mention « visage / crème jour-nuit » (rayon PDF « HC-GENS »)
GENSKIN TACHE GEL T/25G,000021895,Soins du visage,Soins ciblés (imperfections/acné),"« TACHE GEL T/25G » = gel anti-tache format tube 25G, petit format typique d'un soin visage ciblé (proposition validée par le client, confiance : Moyenne)"
GENSIKIN NETTOY VISAG EXTRA DOUX 100G,000023870,Soins du visage,Nettoyants visage,mention nettoyant/démaquillant visage (rayon PDF « HC-GENS »)
GENSKIN TALC PDR FL 125G,000023871,Hygiène & savons,Poudres & talcs,mention « poudre / talc » (rayon PDF « HC-GENS »)
IAP BRUM CHEV& CORPS 100ML OCEAN BLISFRASCO,000033032,Parfumerie,Brumes parfumées,"« BRUM CHEV& CORPS...FRASCO » — même série que les 5 autres « IAP BRUME CHEV&CORPS » déjà classées en brumes parfumées (rayon PDF PARFUME identique) ; non détecté ici car « BRUM » sans le « E » final (proposition validée par le client, confiance : Élevée)"
IAP BRUME CHEV&CORPS 100ML GOLDEN SAMBA FRASCO,000033033,Parfumerie,,"mention EDP/EDT/brume/parfum (rayon PDF « HC-GHI » = bac alphabétique de rangement, non pertinent pour la catégorie)"
IAP BRUMECHEV&CORPS 100ML SAND GLOW FRASCO,000033034,Parfumerie,,"mention EDP/EDT/brume/parfum (rayon PDF « HC-GHI » = bac alphabétique de rangement, non pertinent pour la catégorie)"
IAP BRUME CHEV&CORPS 100MLSUNSET DREAMFRASCO,000033035,Parfumerie,,"mention EDP/EDT/brume/parfum (rayon PDF « HC-GHI » = bac alphabétique de rangement, non pertinent pour la catégorie)"
IAP BRUME CHEV& CORPS 100ML TROPIC VIBES FRASCO,000033036,Parfumerie,,"mention EDP/EDT/brume/parfum (rayon PDF « HC-GHI » = bac alphabétique de rangement, non pertinent pour la catégorie)"
IAP BRUME CHEV& CORPS 100ML VIBRANT BAHIA FRASCO,000033037,Parfumerie,,"mention EDP/EDT/brume/parfum (rayon PDF « HC-GHI » = bac alphabétique de rangement, non pertinent pour la catégorie)"
GILBERT HYFAC WOMAN EAU MICELL 200 ML,000032043,Soins du visage,Nettoyants visage,"« EAU MICELL[AIRE] 200ML » = eau micellaire, nettoyant visage explicite (proposition validée par le client, confiance : Élevée)"
GLOWMAX CR T/100G,000032614,Soins du corps,Laits & crèmes corps,Confirmé par le client (sous-catégorie normalisée « Crèmes & soins du corps »->« Laits & crèmes corps » pour correspondre aux ~130 autres produits corps déjà classés sous ce même libellé) (confiance : Moyenne)
GLOWMAX SAV/75G,000032615,Hygiène & savons,Savons solides,"« SAV/75G » = abréviation de « SAVON », format pain 75G (proposition validée par le client, confiance : Élevée)"
HUILE BAOBAB BASSARI F50ML,000021355,Soins du corps,Huiles corps,"mention « huile » (rayon PDF « HC-GHI » = bac alphabétique de rangement, non pertinent pour la catégorie)"
GILBERT HYFAC CREM LEGERE 40L,000032041,Soins du corps,Laits & crèmes corps,"mention crème/lait/lotion/fluide (forme générique, sans autre précision) (rayon PDF « HC-GHI » = bac alphabétique de rangement, non pertinent pour la catégorie)"
GILBERT HYFAC SOIN GLOBAL 40MML,000032042,Soins du visage,Soins ciblés (imperfections/acné),"gamme « HYFAC » (avec le produit sœur « HYFAC WOMAN EAU MICELLAIRE » de la même marque, nettoyant visage) — soin visage probable mais « SOIN GLOBAL » reste générique (proposition validée par le client, confiance : Moyenne)"
ICTYANE DUCRAY ECLAT LAIT /400ML,000027932,Soins du corps,Laits & crèmes corps,"mention crème/lait/lotion/fluide (forme générique, sans autre précision) (rayon PDF « HC-GHI » = bac alphabétique de rangement, non pertinent pour la catégorie)"
GILBERT PARASIDOSE PEIGNE FINDENTS LON GUES,000023873,Soins capillaires,Anti-poux,"mention « poux / lentes » (rayon PDF « HC-GHI » = bac alphabétique de rangement, non pertinent pour la catégorie)"
KL BB PACK LAIT +PEIT BRAIN+LINGETT+SAV OFF,000032647,Bébé & maternité,,"produit/marque bébé (BB, Baby, Biolane, Babymed, Corine de Farm, lingettes) (rayon PDF « HC-JKL » = bac alphabétique de rangement, non pertinent pour la catégorie)"
LAIT VALDA HUILE DE BAOBAB F/250ML,000022767,Soins du corps,Huiles corps,"mention « huile » (rayon PDF « HC-JKL » = bac alphabétique de rangement, non pertinent pour la catégorie)"
SHIELD LINGETTES,000032841,Bébé & maternité,,"produit/marque bébé (BB, Baby, Biolane, Babymed, Corine de Farm, lingettes) (rayon PDF « HC-JKL » = bac alphabétique de rangement, non pertinent pour la catégorie)"
SHIELD LOTION 200ML,000032842,Soins du corps,Laits & crèmes corps,"mention « lait / crème corps / lotion » (rayon PDF « HC-JKL » = bac alphabétique de rangement, non pertinent pour la catégorie)"
KLORANE BB LAIT DE TOIL. 750ML,000021492,Bébé & maternité,,"produit/marque bébé (BB, Baby, Biolane, Babymed, Corine de Farm, lingettes) (rayon PDF « HC-JKL » = bac alphabétique de rangement, non pertinent pour la catégorie)"
KL BB (S) SAVON SURGRAS PAIN 250G,000024325,Bébé & maternité,,"produit/marque bébé (BB, Baby, Biolane, Babymed, Corine de Farm, lingettes) (rayon PDF « HC-JKL » = bac alphabétique de rangement, non pertinent pour la catégorie)"
JANYS LINE CREME ECLAICISSANTE 50ML,000031496,Soins du corps,Laits & crèmes corps,"mention crème/lait/lotion/fluide (forme générique, sans autre précision) (rayon PDF « HC-JKL » = bac alphabétique de rangement, non pertinent pour la catégorie)"
KLORANE BB LINGETTE +PAISSE NETT/70,000028094,Bébé & maternité,,"produit/marque bébé (BB, Baby, Biolane, Babymed, Corine de Farm, lingettes) (rayon PDF « HC-JKL » = bac alphabétique de rangement, non pertinent pour la catégorie)"
LAINO (D) ARGILE VERTE SURF PDR 300G,000028150,Soins du visage,Masques visage,Confirmé par le client (sous-catégorie normalisée « Masques / Argile »->« Masques visage » pour correspondre aux 2 produits Evoluderm déjà classés sous ce même libellé) (confiance : Élevée)
LAINO (S) LAIT NUTRI OLIVE 400ML,000028151,Soins du corps,Laits & crèmes corps,"mention crème/lait/lotion/fluide (forme générique, sans autre précision) (rayon PDF « HC-LAINO »)"
LAINO (S) SAVON SOUFRE PAIN 150G,000022943,Hygiène & savons,Savons solides,mention « savon » (rayon PDF « HC-LAINO »)
LAINO (S) STICK LEVRE POMME/4G,000021494,Soins du visage,Baumes à lèvres,mention « lèvres / baume à lèvres » (rayon PDF « HC-LAINO »)
LAINO ARGILE VERTE TUBE 350G,000023018,Soins du visage,Masques visage,Confirmé par le client (sous-catégorie normalisée « Masques / Argile »->« Masques visage » pour correspondre aux 2 produits Evoluderm déjà classés sous ce même libellé) (confiance : Élevée)
LAINO STICK LEVRE FRAMBOISE T/4G,000028166,Soins du visage,Baumes à lèvres,mention « lèvres / baume à lèvres » (rayon PDF « HC-LAINO »)
LAINO STICK LEVRE VANILLE T/4G,000022174,Soins du visage,Baumes à lèvres,mention « lèvres / baume à lèvres » (rayon PDF « HC-LAINO »)
LAINO HYDRATANT AMANDE DOUCE FL400ML,000032060,Soins du corps,Laits & crèmes corps,"« HYDRATANT AMANDE DOUCE FL400ML » — flacon 400ML, format habituellement réservé aux laits corps plutôt qu'aux soins visage (petits formats) (proposition validée par le client, confiance : Moyenne)"
CARMEX BAUME LEVRE POT/7.5G,000026432,Soins du visage,Baumes à lèvres,mention « lèvres / baume à lèvres » (rayon PDF « HC-LIPO »)
BLISTEX LIP MEDEX BAUME P/7G,000026267,Soins du visage,Baumes à lèvres,mention « lèvres / baume à lèvres » (rayon PDF « HC-LIPO »)
ANTHELIOS UVMUNE 400 SPF 50+ FLUIDE ANTI TACHES,000033009,Solaires,,mention SPF/solaire/après-soleil (rayon PDF « HC-LRP »)
EFFACLAR GEL PURIF M PEEL200ML,000032719,Soins du visage,Soins ciblés (imperfections/acné),gamme dermo-cosmétique anti-imperfections/acné (rayon PDF « HC-LRP »)
RELAX PATCH DOULEUR MENSTRUEL BT3,000033190,Hygiène & bien-être,Patchs,mention « patch » (rayon PDF « HC-LRP »)
LRP (S) EFFACLAR DUO+ CRM 40ML,000021772,Soins du visage,Soins ciblés (imperfections/acné),gamme dermo-cosmétique anti-imperfections/acné (rayon PDF « HC-LRP »)
LRP (S-D) EFFACLAR H HYD-APAIS/40ML,000028400,Soins du visage,Soins ciblés (imperfections/acné),gamme dermo-cosmétique anti-imperfections/acné (rayon PDF « HC-LRP »)
LRP (S-D) LIPIKAR LAIT CORPS 400ML,000022625,Soins du corps,Laits & crèmes corps,mention « lait / crème corps / lotion » (rayon PDF « HC-LRP »)
LRP (S-D) EFFACLAR DUO+ SPF30 40ML,000022794,Solaires,,mention SPF/solaire/après-soleil (rayon PDF « HC-LRP »)
LRP ANTHELIOS UVMUNE400 CRM 50ML EX SHAKA,000021499,Solaires,,mention SPF/solaire/après-soleil (rayon PDF « HC-LRP »)
LRP EFFACLAR (U) GEL MOUSS PURIF 400ML,000021500,Soins du visage,Nettoyants visage,mention nettoyant/démaquillant visage (rayon PDF « HC-LRP »)
LRP EFFACLAR GEL MOUSS PURIF 200ML,000024074,Soins du visage,Nettoyants visage,mention nettoyant/démaquillant visage (rayon PDF « HC-LRP »)
LRP EFFACLAR LOTION ASTR. 200ML,000023546,Soins du visage,Soins ciblés (imperfections/acné),gamme dermo-cosmétique anti-imperfections/acné (rayon PDF « HC-LRP »)
LRP EFFACLAR DUO+ SERUM 30ML,000031087,Soins du visage,Soins ciblés (imperfections/acné),gamme dermo-cosmétique anti-imperfections/acné (rayon PDF « HC-LRP »)
LRP LIPIKAR BAUME AP+ 200ML,000028419,Soins du corps,Laits & crèmes corps,mention « lait / crème corps / lotion » (rayon PDF « HC-LRP »)
LRP LIPIKAR GEL LAVANT 400ML,000028425,Soins du corps,Laits & crèmes corps,mention « lait / crème corps / lotion » (rayon PDF « HC-LRP »)
LRP LIPIKAR SAV SURG PAIN/150G (S-D),000022517,Soins du corps,Laits & crèmes corps,mention « lait / crème corps / lotion » (rayon PDF « HC-LRP »)
LRP LIPIKAR SYNDET AP+ CRM LAV. 400ML,000028432,Soins du corps,Laits & crèmes corps,mention « lait / crème corps / lotion » (rayon PDF « HC-LRP »)
LRP LIPIKAR LAIT UREA 400ML EXISO UREA,000031863,Soins du corps,Laits & crèmes corps,mention « lait / crème corps / lotion » (rayon PDF « HC-LRP »)
MAYANA CREME GOMMANTE EXFOLIANTE,000032534,Soins du corps,Gommages & exfoliants,mention « gommage / exfoliant » (rayon PDF « HC-MAYA »)
CREME SOLAIRE MAYANA SPF 50,000032672,Solaires,,mention SPF/solaire/après-soleil (rayon PDF « HC-MAYA »)
MAYANA ANTI ACNE SAV,000022694,Soins du visage,Soins ciblés (imperfections/acné),gamme dermo-cosmétique anti-imperfections/acné (rayon PDF « HC-MAYA »)
MAYANA LAIT DE CORPS UNIFIANT FL/500ML,000022698,Soins du corps,Soins éclaircissants / anti-taches,mention « anti-tache / éclaircissant (ECL) / unifiant » (rayon PDF « HC-MAYA »)
MAYANA SAVON ANTI TACHE 225GRS,000022695,Hygiène & savons,Savons solides,mention « savon » (rayon PDF « HC-MAYA »)
MAYANA SAVON ALOE VERA 225GRS,000022696,Hygiène & savons,Savons solides,mention « savon » (rayon PDF « HC-MAYA »)
MAYANA SAVON AU BEURRE DE KARITE 225GRS,000022697,Hygiène & savons,Savons solides,mention « savon » (rayon PDF « HC-MAYA »)
MAYANA SERUM ANTITACHE 30ML,000023424,Soins du visage,Sérums,mention « sérum » (rayon PDF « HC-MAYA »)
MAYANA EAU MICELLAIRE,000023425,Soins du visage,Nettoyants visage,"« EAU MICELLAIRE » = nettoyant visage explicite (proposition validée par le client, confiance : Élevée)"
MAYANA LAIT RADIANCE FL/500ML,000032258,Soins du corps,Laits & crèmes corps,"mention crème/lait/lotion/fluide (forme générique, sans autre précision) (rayon PDF « HC-MAYA »)"
MAYANA LAIT CLARIFIANT FL/500ML,000032259,Soins du corps,Soins éclaircissants / anti-taches,mention « anti-tache / éclaircissant (ECL) / unifiant » (rayon PDF « HC-MAYA »)
MAYANA GEL GOMMANT EXFOLIANT FL/500ML,000032260,Soins du corps,Gommages & exfoliants,mention « gommage / exfoliant » (rayon PDF « HC-MAYA »)
MAYANA 100 J'ADORE FL/50ML,000032264,Parfumerie,Eaux de parfum / toilette,"« 100 J'ADORE FL/50ML » — numérotation de parfum + flacon 50ML, même logique que la série IAP (parfums génériques inspirés de références connues) (proposition validée par le client, confiance : Élevée)"
MAYANA 200 BLEU CH FL/50ML,000032266,Parfumerie,Eaux de parfum / toilette,"« 200 BLEU CH FL/50ML » — numérotation de parfum + flacon 50ML, même logique que le produit voisin (proposition validée par le client, confiance : Élevée)"
MAYANA CREME VISAGE JOUR ET NUIT,000022700,Soins du visage,Crèmes visage,mention « visage / crème jour-nuit » (rayon PDF « HC-MAYA »)
MAYANA HUILE NOURRISSANTE 125ML,000022699,Soins du corps,Huiles corps,mention « huile » (rayon PDF « HC-MAYA »)
MIXA HUILE ANTI VERGETURES 100ML,000033095,Soins du corps,Anti-vergetures,mention « vergetures » (rayon PDF « HC-MIXA »)
MIXA SERUM CONCENTRE ANTI-TACHES 30ML,000033215,Soins du visage,Sérums,mention « sérum » (rayon PDF « HC-MIXA »)
MIXA SERUM CONCENTRE ANT-IMPERFECTIONS 30ML,000033216,Soins du visage,Sérums,mention « sérum » (rayon PDF « HC-MIXA »)
MIXA 10 EN 1 CICA REPAIR + 150ML,000033217,Soins du corps,Laits & crèmes corps,"gamme « CICA REPAIR » — les 2 autres produits Mixa Cica Repair (crème pot 400ML, lait 250ML) sont déjà classés en soins corps ; ce format « 10 en 1 » appartient à la même gamme (proposition validée par le client, confiance : Élevée)"
