rayon,produit,marque_deduite,code_barre,prix_cession,prix_public,stk_rayon,stk_magasin,stk_global,date_exp,deja_present_en_base,anomalie
HC-EVOL,EVOLUDERM CRM MAIN NOURISST BEURRE DE CACAO T/150,Evoluderm,000027176,1568.00,2950.00,1.00,0.00,1.00,31/12/00,Non,
HC-EVOL,EVOLUDERM GOMMAGE EXF PECHE 150ML,Evoluderm,000027189,1568.00,2950.00,2.00,0.00,2.00,31/12/00,Non,
HC-EVOL,EVOLUDERM LAIT ACTION TACHE 500ML,Evoluderm,000027194,2373.00,4500.00,2.00,0.00,2.00,31/12/00,Non,
HC-EVOL,EVOLUDERM LAIT EXTRA FORT 500ML,Evoluderm,000027195,2373.00,4500.00,3.00,0.00,3.00,31/12/00,Non,
HC-EVOL,EVOLUDERM LAIT HYDRAT MONOI 500ML,Evoluderm,000023467,1780.00,3500.00,1.00,0.00,1.00,31/12/00,Non,
HC-EVOL,EVOLUDERM LAIT OVER BOOST 500ML,Evoluderm,000027198,2373.00,4500.00,2.00,0.00,2.00,31/12/00,Non,
HC-EVOL,EVOLUDERM LAIT TRES FORT 500ML,Evoluderm,000027200,2373.00,4500.00,2.00,0.00,2.00,31/12/00,Non,
HC-EVOL,EVOLUDERM MASQUE DOUX CONCOMBRE 150ML,Evoluderm,000027202,1568.00,2950.00,1.00,0.00,1.00,31/12/00,Non,
HC-EVOL,EVOLUDERM MASQUE PURIF ARGILE 150ML,Evoluderm,000027205,1568.00,2950.00,1.00,0.00,1.00,31/12/00,Non,
HC-EVOL,EVOLUDERM GEL DOUCHE AMANDE 500ML,Evoluderm,000032968,1780.00,3350.00,2.00,0.00,2.00,31/12/00,Non,
HC-EVOL,EVOLUDERM GEL DOUCHE ARGAN 500ML,Evoluderm,000032969,1780.00,3350.00,3.00,0.00,3.00,31/12/00,Non,
HC-EVOL,EVOLUDERM GEL DOUCHE HUILE PRECIEUSE 500ML,Evoluderm,000032970,1780.00,3350.00,2.00,0.00,2.00,31/12/00,Non,
HC-EVOL,EVOLUDERM GEL DOUCHE FLEUR D'ORANGER 500ML,Evoluderm,000032971,1780.00,3350.00,2.00,0.00,2.00,31/12/00,Non,
HC- FR BE,FRANCOISE BEDON SAVON PUISSANCE,Françoise Bedon,000031538,3750.00,5800.00,4.00,0.00,4.00,31/12/00,Non,
HC- FR BE,FRANCOISE BEDON SAVON ROYAL,Françoise Bedon,000031539,6000.00,9500.00,2.00,0.00,2.00,31/12/00,Non,
HC- FR BE,FRANCOISE BEDON CRM PUISSANCE,Françoise Bedon,000031541,6500.00,10000.00,1.00,0.00,1.00,31/12/00,Non,
HC- FR BE,FRANCOISE BEDON CRM SUPREME,Françoise Bedon,000031542,7000.00,8000.00,1.00,0.00,1.00,31/12/00,Non,
HC- FR BE,FRANCOISE BEDON SERUM SUPREME,Françoise Bedon,000031543,7000.00,10766.00,2.00,0.00,2.00,31/12/00,Non,
HC- FR BE,FRANCOISE BEDON SERUM ULTIME CAROTTE LUXE,Françoise Bedon,000031545,7000.00,10766.00,1.00,0.00,1.00,31/12/00,Non,
HC- FR BE,FRANCOISE BEDON CRM ULTIME GOLD OR LUXE,Françoise Bedon,000031546,7000.00,10766.00,1.00,0.00,1.00,31/12/00,Non,
HC- FR BE,FRANCOISE BEDON LAIT ECL CAROTTE 500ML,Françoise Bedon,000031562,5500.00,10000.00,2.00,0.00,2.00,31/12/00,Non,
HC- FR BE,FRANCOISE BEDON LAIT ECL PUISSANCE,Françoise Bedon,000031666,5500.00,10000.00,5.00,0.00,5.00,31/12/00,Non,
HC- FR BE,FRANCOISE BEDON LAIT ECLA ROYAL,Françoise Bedon,000031667,9750.00,15000.00,3.00,0.00,3.00,31/12/00,Non,
HC-GENS,GENSKIN LOTIONHYDRVISAGE/CORPS T/225ML,Genskin,000024141,3948.00,7000.00,4.00,0.00,4.00,31/12/00,Non,
HC-GENS,GENSKIN CRM ECLAT NOURIS 250G,Genskin,000022078,3959.00,7200.00,2.00,0.00,2.00,31/12/00,Non,
HC-GENS,GENSKIN CRM EMOLLIENTE 250G,Genskin,000020939,2410.00,4400.00,6.00,0.00,6.00,31/12/00,Non,
HC-GENS,GENSKIN SAVON EXF. ALOE&KARITE/150G,Genskin,000021617,2690.00,4600.00,3.00,0.00,3.00,31/12/00,Non,
HC-GENS,GENSKIN SOLAIRE SPF50+ CRM 50G,Genskin,000023950,6770.00,11985.00,1.00,0.00,1.00,31/12/00,Non,
HC-GENS,GENSKIN(L) SAVON PUR. CHARBON/150G,Genskin,000020962,2602.00,4725.00,5.00,0.00,5.00,31/12/00,Non,
HC-GENS,GENSKIN LOTION HYDR VISAGE/CORPS T/450ML,Genskin,000033099,6750.00,12000.00,1.00,0.00,1.00,31/12/00,Non,
HC-GENS,GENSKIN EXFOL CREME VISAGE CHARBON 100G,Genskin,000032737,4813.00,8750.00,1.00,0.00,1.00,31/12/00,Non,
HC-GENS,GENSKIN TACHE GEL T/25G,Genskin,000021895,1732.00,3150.00,2.00,0.00,2.00,31/12/00,Non,
HC-GENS,GENSIKIN NETTOY VISAG EXTRA DOUX 100G,Genskin,000023870,2840.00,5150.00,1.00,0.00,1.00,31/12/00,Non,
HC-GENS,GENSKIN TALC PDR FL 125G,Genskin,000023871,2366.00,4293.00,1.00,0.00,1.00,31/12/00,Non,
HC-GHI,IAP BRUM CHEV& CORPS 100ML OCEAN BLISFRASCO,IAP (parfums génériques),000033032,2361.00,4300.00,2.00,0.00,2.00,31/12/00,Non,
HC-GHI,IAP BRUME CHEV&CORPS 100ML GOLDEN SAMBA FRASCO,IAP (parfums génériques),000033033,2361.00,4300.00,4.00,0.00,4.00,31/12/00,Non,
HC-GHI,IAP BRUMECHEV&CORPS 100ML SAND GLOW FRASCO,IAP (parfums génériques),000033034,2361.00,4300.00,4.00,0.00,4.00,31/12/00,Non,
HC-GHI,IAP BRUME CHEV&CORPS 100MLSUNSET DREAMFRASCO,IAP (parfums génériques),000033035,2361.00,4300.00,2.00,0.00,2.00,31/12/00,Non,
HC-GHI,IAP BRUME CHEV& CORPS 100ML TROPIC VIBES FRASCO,IAP (parfums génériques),000033036,2361.00,4300.00,1.00,0.00,1.00,31/12/00,Non,
HC-GHI,IAP BRUME CHEV& CORPS 100ML VIBRANT BAHIA FRASCO,IAP (parfums génériques),000033037,2361.00,4300.00,3.00,0.00,3.00,31/12/00,Non,
HC-GHI,GILBERT HYFAC WOMAN EAU MICELL 200 ML,Gilbert,000032043,5905.00,10716.00,1.00,0.00,1.00,31/12/00,Non,
HC-GHI,GLOWMAX CR T/100G,Glowmax,000032614,2666.00,4100.00,1.00,0.00,1.00,31/12/00,Non,
HC-GHI,GLOWMAX SAV/75G,Glowmax,000032615,1696.00,3000.00,1.00,0.00,1.00,31/12/00,Non,
HC-GHI,HUILE BAOBAB BASSARI F50ML,(ambigu — voir nom),000021355,2700.00,4150.00,23.00,0.00,23.00,31/12/00,Non,
HC-GHI,GILBERT HYFAC CREM LEGERE 40L,Gilbert,000032041,7005.00,12712.00,1.00,0.00,1.00,31/12/00,Non,
HC-GHI,GILBERT HYFAC SOIN GLOBAL 40MML,Gilbert,000032042,5361.00,9729.00,1.00,0.00,1.00,31/12/00,Non,
HC-GHI,ICTYANE DUCRAY ECLAT LAIT /400ML,Ducray,000027932,12725.00,17320.00,1.00,0.00,1.00,31/12/00,Non,
HC-GHI,GILBERT PARASIDOSE PEIGNE FINDENTS LON GUES,Gilbert,000023873,1754.00,3183.00,1.00,0.00,1.00,31/12/00,Non,
HC-JKL,KL BB PACK LAIT +PEIT BRAIN+LINGETT+SAV OFF,Klorane,000032647,18532.00,32801.00,1.00,0.00,1.00,31/12/00,Non,
HC-JKL,LAIT VALDA HUILE DE BAOBAB F/250ML,(ambigu — voir nom),000022767,1080.00,1960.00,1.00,0.00,1.00,31/12/00,Non,
HC-JKL,SHIELD LINGETTES,Shield,000032841,1183.00,1775.00,3.00,0.00,3.00,31/12/00,Non,
HC-JKL,SHIELD LOTION 200ML,Shield,000032842,1183.00,1775.00,1.00,0.00,1.00,31/12/00,Non,
HC-JKL,KLORANE BB LAIT DE TOIL. 750ML,Klorane,000021492,7089.00,12923.00,1.00,0.00,1.00,31/12/00,Non,
HC-JKL,KL BB (S) SAVON SURGRAS PAIN 250G,Klorane,000024325,3689.00,6694.00,1.00,0.00,1.00,31/12/00,Non,
HC-JKL,JANYS LINE CREME ECLAICISSANTE 50ML,Janys Line,000031496,2966.00,3100.00,2.00,0.00,2.00,31/12/00,Non,
HC-JKL,KLORANE BB LINGETTE +PAISSE NETT/70,Klorane,000028094,4896.00,8665.00,1.00,0.00,1.00,31/12/00,Non,
HC-LAINO,LAINO (D) ARGILE VERTE SURF PDR 300G,Laino,000028150,2307.00,4186.00,1.00,0.00,1.00,31/12/00,Non,
HC-LAINO,LAINO (S) LAIT NUTRI OLIVE 400ML,Laino,000028151,5870.00,10653.00,1.00,0.00,1.00,31/12/00,Non,
HC-LAINO,LAINO (S) SAVON SOUFRE PAIN 150G,Laino,000022943,2480.00,4513.00,1.00,0.00,1.00,31/12/00,Non,
HC-LAINO,LAINO (S) STICK LEVRE POMME/4G,Laino,000021494,1506.00,2665.00,1.00,0.00,1.00,31/12/00,Non,
HC-LAINO,LAINO ARGILE VERTE TUBE 350G,Laino,000023018,3935.00,7141.00,1.00,0.00,1.00,31/12/00,Non,
HC-LAINO,LAINO STICK LEVRE FRAMBOISE T/4G,Laino,000028166,1613.00,2927.00,1.00,0.00,1.00,31/12/00,Non,
HC-LAINO,LAINO STICK LEVRE VANILLE T/4G,Laino,000022174,1574.00,2850.00,1.00,0.00,1.00,31/12/00,Non,
HC-LAINO,LAINO HYDRATANT AMANDE DOUCE FL400ML,Laino,000032060,6090.00,10779.00,1.00,0.00,1.00,31/12/00,Non,
HC-LIPO,CARMEX BAUME LEVRE POT/7.5G,Carmex (à confirmer),000026432,1000.00,1650.00,28.00,0.00,28.00,31/12/00,Non,
HC-LIPO,BLISTEX LIP MEDEX BAUME P/7G,Blistex (à confirmer),000026267,1000.00,1500.00,36.00,0.00,36.00,31/12/00,Non,
HC-LRP,ANTHELIOS UVMUNE 400 SPF 50+ FLUIDE ANTI TACHES,La Roche-Posay,000033009,9666.00,17541.00,1.00,0.00,1.00,31/12/00,Non,
HC-LRP,EFFACLAR GEL PURIF M PEEL200ML,La Roche-Posay,000032719,6986.00,12365.00,1.00,0.00,1.00,31/12/00,Non,
HC-LRP,RELAX PATCH DOULEUR MENSTRUEL BT3,(ambigu — voir nom),000033190,2250.00,3460.00,2.00,0.00,2.00,31/12/00,Non,
HC-LRP,LRP (S) EFFACLAR DUO+ CRM 40ML,La Roche-Posay,000021772,6819.00,12100.00,1.00,0.00,1.00,31/12/00,Non,
HC-LRP,LRP (S-D) EFFACLAR H HYD-APAIS/40ML,La Roche-Posay,000028400,6512.00,11818.00,1.00,0.00,1.00,31/12/00,Non,
HC-LRP,LRP (S-D) LIPIKAR LAIT CORPS 400ML,La Roche-Posay,000022625,9324.00,16921.00,2.00,0.00,2.00,31/12/00,Non,
HC-LRP,LRP (S-D) EFFACLAR DUO+ SPF30 40ML,La Roche-Posay,000022794,7216.00,13100.00,1.00,0.00,1.00,31/12/00,Non,
HC-LRP,LRP ANTHELIOS UVMUNE400 CRM 50ML EX SHAKA,La Roche-Posay,000021499,9126.00,16561.00,1.00,0.00,1.00,31/12/00,Non,
HC-LRP,LRP EFFACLAR (U) GEL MOUSS PURIF 400ML,La Roche-Posay,000021500,8583.00,15500.00,1.00,0.00,1.00,31/12/00,Non,
HC-LRP,LRP EFFACLAR GEL MOUSS PURIF 200ML,La Roche-Posay,000024074,6299.00,11450.00,1.00,0.00,1.00,31/12/00,Non,
HC-LRP,LRP EFFACLAR LOTION ASTR. 200ML,La Roche-Posay,000023546,7337.00,11500.00,1.00,0.00,1.00,31/12/00,Non,
HC-LRP,LRP EFFACLAR DUO+ SERUM 30ML,La Roche-Posay,000031087,15900.00,15900.00,1.00,0.00,1.00,31/12/00,Non,marge nulle (cession=public identiques)
HC-LRP,LRP LIPIKAR BAUME AP+ 200ML,La Roche-Posay,000028419,8529.00,18057.00,1.00,0.00,1.00,31/12/00,Non,
HC-LRP,LRP LIPIKAR GEL LAVANT 400ML,La Roche-Posay,000028425,7724.00,14018.00,1.00,0.00,1.00,31/12/00,Non,
HC-LRP,LRP LIPIKAR SAV SURG PAIN/150G (S-D),La Roche-Posay,000022517,3200.00,6950.00,1.00,0.00,1.00,31/12/00,Non,
HC-LRP,LRP LIPIKAR SYNDET AP+ CRM LAV. 400ML,La Roche-Posay,000028432,8109.00,14716.00,1.00,0.00,1.00,31/12/00,Non,
HC-LRP,LRP LIPIKAR LAIT UREA 400ML EXISO UREA,La Roche-Posay,000031863,11650.00,21142.00,1.00,0.00,1.00,31/12/00,Non,
HC-MAYA,MAYANA CREME GOMMANTE EXFOLIANTE,Mayana,000032534,2650.00,4200.00,1.00,0.00,1.00,31/12/00,Non,
HC-MAYA,CREME SOLAIRE MAYANA SPF 50,Creme (à confirmer),000032672,4300.00,6700.00,2.00,0.00,2.00,31/12/00,Non,
HC-MAYA,MAYANA ANTI ACNE SAV,Mayana,000022694,900.00,1500.00,48.00,0.00,48.00,31/12/00,Non,
HC-MAYA,MAYANA LAIT DE CORPS UNIFIANT FL/500ML,Mayana,000022698,6000.00,9500.00,7.00,0.00,7.00,31/12/00,Non,
HC-MAYA,MAYANA SAVON ANTI TACHE 225GRS,Mayana,000022695,900.00,1500.00,33.00,0.00,33.00,31/12/00,Non,
HC-MAYA,MAYANA SAVON ALOE VERA 225GRS,Mayana,000022696,900.00,1500.00,9.00,0.00,9.00,31/12/00,Non,
HC-MAYA,MAYANA SAVON AU BEURRE DE KARITE 225GRS,Mayana,000022697,900.00,1500.00,9.00,0.00,9.00,31/12/00,Non,
HC-MAYA,MAYANA SERUM ANTITACHE 30ML,Mayana,000023424,2500.00,4000.00,17.00,0.00,17.00,31/12/00,Non,
HC-MAYA,MAYANA EAU MICELLAIRE,Mayana,000023425,2500.00,4000.00,4.00,0.00,4.00,31/12/00,Non,
HC-MAYA,MAYANA LAIT RADIANCE FL/500ML,Mayana,000032258,3000.00,5000.00,10.00,0.00,10.00,31/12/00,Non,
HC-MAYA,MAYANA LAIT CLARIFIANT FL/500ML,Mayana,000032259,4000.00,6500.00,10.00,0.00,10.00,31/12/00,Non,
HC-MAYA,MAYANA GEL GOMMANT EXFOLIANT FL/500ML,Mayana,000032260,2500.00,4000.00,6.00,0.00,6.00,31/12/00,Non,
HC-MAYA,MAYANA 100 J'ADORE FL/50ML,Mayana,000032264,2800.00,4500.00,2.00,0.00,2.00,31/12/00,Non,
HC-MAYA,MAYANA 200 BLEU CH FL/50ML,Mayana,000032266,2800.00,4500.00,5.00,0.00,5.00,31/12/00,Non,
HC-MAYA,MAYANA CREME VISAGE JOUR ET NUIT,Mayana,000022700,3300.00,5200.00,18.00,0.00,18.00,31/12/00,Non,
HC-MAYA,MAYANA HUILE NOURRISSANTE 125ML,Mayana,000022699,2000.00,3200.00,2.00,0.00,2.00,31/12/00,Non,
HC-MIXA,MIXA HUILE ANTI VERGETURES 100ML,Mixa,000033095,6500.00,10900.00,4.00,0.00,4.00,31/12/00,Non,
HC-MIXA,MIXA SERUM CONCENTRE ANTI-TACHES 30ML,Mixa,000033215,6000.00,10000.00,2.00,0.00,2.00,31/12/00,Non,
HC-MIXA,MIXA SERUM CONCENTRE ANT-IMPERFECTIONS 30ML,Mixa,000033216,6000.00,10000.00,3.00,0.00,3.00,31/12/00,Non,
HC-MIXA,MIXA 10 EN 1 CICA REPAIR + 150ML,Mixa,000033217,6500.00,10100.00,3.00,0.00,3.00,31/12/00,Non,
HC-MIXA,MIXA CREME CICA REPAIR POT 400ML,Mixa,000032868,7000.00,10900.00,4.00,0.00,4.00,31/12/00,Non,
HC-MIXA,MIXA CREME NIACINAMIDE POT 400ML,Mixa,000032869,6000.00,11500.00,13.00,0.00,13.00,31/12/00,Non,
HC-MIXA,MIXA LAIT CICA REPAIR 250ML,Mixa,000032870,3500.00,5500.00,4.00,0.00,4.00,31/12/00,Non,
HC-MIXA,MIXA LAIT NIACINAMIDE 250ML,Mixa,000032871,3500.00,5500.00,12.00,0.00,12.00,31/12/00,Non,
HC-MIXA,MIXA NETTOYANT CONFORT ANTI-TERNE 150ML,Mixa,000032976,5000.00,8000.00,2.00,0.00,2.00,31/12/00,Non,
HC-MIXA,MIXA NETTOYANT CONFORT ANTI-SECHERESSE 150ML,Mixa,000032978,5000.00,8000.00,3.00,0.00,3.00,31/12/00,Non,
HC-MKL,MKL GEL DOUCH LAIT D'ANNESS GERS,MKL,000023723,3278.00,5949.00,1.00,0.00,1.00,31/12/00,Non,
HC-MKL,MKL GEL DOUCH MONOI TAHITI,MKL,000023724,3278.00,5949.00,1.00,0.00,1.00,31/12/00,Non,
HC-MKL,MKL GEL DOUCH BIO ARGAN 1L,MKL,000023721,4587.00,8324.00,1.00,0.00,1.00,31/12/00,Non,
HC-MKL,MKL HUIL CORPS ALOE VERA BIO 200ML,MKL,000023726,5097.00,9250.00,1.00,0.00,1.00,31/12/00,Non,
HC-MKL,MKL GEL DOUCH NOIX COCO SS SAV,MKL,000023725,3278.00,5949.00,1.00,0.00,1.00,31/12/00,Non,
HC-MKL,MKL CREM MAIN BIO COCO 50ML,MKL,000023715,1309.00,2375.00,1.00,0.00,1.00,31/12/00,Non,
HC-MKL,MKL BAUM LEVRE BIO CITRON 4G,MKL,000032895,1067.00,2000.00,1.00,0.00,1.00,31/12/00,Non,
HC-MKL,MKL BAUM LEVRE BIO COCO 4G,MKL,000032896,1067.00,2000.00,1.00,0.00,1.00,31/12/00,Non,
HC-MKL,MKL BAUM LRVRE BIO KARITE 4G,MKL,000032898,1067.00,2000.00,1.00,0.00,1.00,31/12/00,Non,
HC-MKL,MKL BAUM LEVRE BIO NEUTRE 4G,MKL,000032897,1067.00,2000.00,1.00,0.00,1.00,31/12/00,Non,
HC-MKL,MKL CREM MAIN BIO ABRICOT 50ML,MKL,000032899,1309.00,2375.00,1.00,0.00,1.00,31/12/00,Non,
HC-MKL,MKL CREM VISAGE ANTI RIDES LAIT D.ANNES BIOO,MKL,000023716,3658.00,6638.00,2.00,0.00,2.00,31/12/00,Non,
HC-MNO,MARIE ROSE SHAMP ANTI PPOUX&LENTE 125ML,Marie Rose,000022856,2178.00,3950.00,1.00,0.00,1.00,31/12/00,Non,
HC-MNO,NEUTRAD (S-D) SAVON SURGRAS 200G LOT/3 CH,Neutrad,000032686,1388.00,3400.00,21.00,0.00,21.00,31/12/00,Non,
HC-MNO,MALIBU LOTION LAIT SOLAIRE SPF 20 FL/200ML,Malibu,000031907,4492.00,8153.00,2.00,0.00,2.00,31/12/00,Non,
HC-MNO,MALIBU LOTION SOLAIRE SPF 30 FL/200ML,Malibu,000031906,5424.00,9843.00,1.00,0.00,1.00,31/12/00,Non,
HC-MNO,MALIBU LOTION LAIT SPF 30 SPRAY FL/200ML,Malibu,000031908,5424.00,9843.00,2.00,0.00,2.00,31/12/00,Non,
HC-MNO,MDL SAVON VEGETAL ANTI ACNE 150G,MDL,000022744,2225.00,4050.00,2.00,0.00,2.00,31/12/00,Non,
HC-MNO,MDL SAVON VEGETAL ANTISEPTIQUE 150G,MDL,000021502,2269.00,4117.00,2.00,0.00,2.00,31/12/00,Non,
HC-MNO,NEUTROGENA CALME CURCUMA BRUME 1APAIS SPRAY 125ML,Neutrogena,000032299,4964.00,8786.00,1.00,0.00,1.00,31/12/00,Non,
HC-MNO,NEUTROGENA DEEP CLEAN GEL EXFOLIANT 150ML,Neutrogena,000032301,4885.00,8865.00,1.00,0.00,1.00,31/12/00,Non,
HC-MNO,MALIBU LAIT APRES SOLEIL SPRAY FL/200ML,Malibu,000031909,2839.00,5152.00,2.00,0.00,2.00,31/12/00,Non,
HC-MNO,NEUTROGENA GEL EXFOLIANT ANTIBRIL CIT VERT 150ML,Neutrogena,000032305,4714.00,8555.00,1.00,0.00,1.00,31/12/00,Non,
HC-MNO,OXYPROLANE LAIT DE CORPS 500ML,Oxyprolane,000032979,17000.00,26500.00,2.00,0.00,2.00,31/12/00,Non,
HC-MNO,OXYPROLANE SAVON ECLAT DU TEINT 220G,Oxyprolane,000032980,6000.00,9500.00,2.00,0.00,2.00,31/12/00,Non,
HC-NIVEA,NIVEA LAIT PERFECT ET RADIANT FL/400ML,Nivea,000031883,2119.00,3845.00,1.00,0.00,1.00,31/12/00,Non,
HC-NIVEA,NIVEA LABELLO FRAISE STICK 4.8G,Nivea,000032774,1220.00,2214.00,2.00,0.00,2.00,31/12/00,Non,
HC-NIVEA,NIVEA LAIT NATURAL GLOW FL/250ML,Nivea,000031886,1568.00,2845.00,1.00,0.00,1.00,31/12/00,Non,
HC-NIVEA,NIVEA GEL ANTI BLEMISH,Nivea,000031476,2542.00,4600.00,1.00,0.00,1.00,31/12/00,Non,
HC-NIVEA,NIVEA DEMAQILLANT DOUX 125ML,Nivea,000031315,2076.00,3800.00,1.00,0.00,1.00,31/12/00,Non,
HC-NIVEA,NIVEA DEMAQILLANT YEUX 125ML,Nivea,000031316,2034.00,3800.00,2.00,0.00,2.00,31/12/00,Non,
HC-NIVEA,NIVEA GEL NET FRAICHEUR PM,Nivea,000031322,2542.00,4600.00,3.00,0.00,3.00,31/12/00,Non,
HC-NIVEA,NIVEA LAIT DEMAQ VISAGE ET YEUX200ML,Nivea,000031326,2119.00,3900.00,1.00,0.00,1.00,31/12/00,Non,
HC-PQR,POUXIT (S) XF LOT POUX&LENTES/100ML,Pouxit,000022732,5762.00,10455.00,1.00,0.00,1.00,31/12/00,Non,
HC-PQR,PARASIDOSE SOIN TRAITANT F/100ML,Parasidose,000029428,4312.00,7825.00,1.00,0.00,1.00,31/12/00,Non,
HC-PQR,PETIT OL CHVX SECS OLIV/KAR/ARG SH250ML,(ambigu — voir nom),000032775,2708.00,4800.00,1.00,0.00,1.00,31/12/00,Non,
HC-PQR,SHIELD POUDRE 200G,Shield,000032843,2426.00,3639.00,1.00,0.00,1.00,31/12/00,Non,
HC-PQR,PARA SPRAY ENVIRONN POUX 250ML,(ambigu — voir nom),000031773,6348.00,8932.00,1.00,0.00,1.00,31/12/00,Non,
HC-PQR,PALMA SAVON FLEUR D'ORANGER 100G,Palma,000029383,1.00,2.00,1.00,0.00,1.00,31/12/00,Non,prix suspicieusement bas
HC-STU,SIVODERM LOTION ANTI ACNE,Sivoderm,000031520,678.00,1350.00,3.00,0.00,3.00,31/12/00,Non,
HC-STU,SAVON DE MARSEILLE AMANDE DOUCE 4 X 200GRS,(ambigu — voir nom),000031357,1568.00,2950.00,2.00,0.00,2.00,31/12/00,Non,
HC-STU,SAVON DE MARSEILLE GLYCERINE 4 X 200 GRS,(ambigu — voir nom),000031358,1568.00,2950.00,2.00,0.00,2.00,31/12/00,Non,
HC-STU,SVR SEBIACLEA CRM SPF50/40ML,SVR,000023742,6125.00,11115.00,1.00,0.00,1.00,31/12/00,Non,
HC-STU,SAVON PETIT MARSEILLE OLIVE 4X100G,(ambigu — voir nom),000031360,1568.00,2950.00,3.00,0.00,3.00,31/12/00,Non,
HC-STU,SEBIONEX GEL MOUS PURIF 200ML,Sebionex,000029980,6717.00,11650.00,2.00,0.00,2.00,31/12/00,Non,
HC-STU,SEBIONEX HYDRA CRM/40ML,Sebionex,000021562,7567.00,13400.00,1.00,0.00,1.00,31/12/00,Non,
HC-STU,SIVODERM GEL LAVANT EXPERT,Sivoderm,000031573,635.00,1500.00,3.00,0.00,3.00,31/12/00,Non,
HC-STU,SIVODERM SAVON EXPERT,Sivoderm,000031575,600.00,1100.00,9.00,0.00,9.00,31/12/00,Non,
HC-STU,SVR DENTISIUM CR RICHE 50ML,SVR,000023740,21965.00,21965.00,1.00,0.00,1.00,31/12/00,Non,marge nulle (cession=public identiques)
HC-STU,SVR DENTISIUM CONTOUR YEUX 15ML,SVR,000023739,14459.00,26240.00,1.00,0.00,1.00,31/12/00,Non,
HC-STU,SENSITELIAL (S) SOIN EMOL/500ML,Sensitelial,000030024,7918.00,14369.00,2.00,0.00,2.00,31/12/00,Non,
HC-STU,SHIELD HUILE 200ML,Shield,000032840,2367.00,3550.00,2.00,0.00,2.00,31/12/00,Non,
HC-STU,SHIELD SHAMPOING 200ML,Shield,000032844,1420.00,2130.00,1.00,0.00,1.00,31/12/00,Non,
HC-STU,SEBIONEX TRIO ANTI IMP CR T/40ML,Sebionex,000022049,6908.00,12536.00,2.00,0.00,2.00,31/12/00,Non,
HC-TOPIC,TOPICREM MELA LAIT UNIF 200ML,Topicrem,000032550,10856.00,19703.00,1.00,0.00,1.00,31/12/00,Non,
HC-TOPIC,TOPICREM ULTRA HYDR HUILE DOUCE F/1L,Topicrem,000032046,8841.00,16044.00,1.00,0.00,1.00,31/12/00,Non,
HC-TOPIC,TOPICREM MELA SERUM INT ANTITACCHE ECLAT 30ML,Topicrem,000025527,11300.00,20507.00,1.00,0.00,1.00,31/12/00,Non,
HC-TOPIC,TOPICREM PACK MELA ROUTINE VISAGE 3PCS,Topicrem,000032820,25510.00,45152.00,1.00,0.00,1.00,31/12/00,Non,
HC-TOPIC,TOPICREM (S) CICA CRM REPAR 40ML,Topicrem,000030530,3722.00,6200.00,1.00,0.00,1.00,31/12/00,Non,
HC-TOPIC,TOPICREM (S) EMULS CORPS ULT HYD 500ML,Topicrem,000030531,7810.00,14175.00,1.00,0.00,1.00,31/12/00,Non,
HC-TOPIC,TOPICREM (S) MELA PAIN EXF. 150G,Topicrem,000023037,3588.00,6511.00,1.00,0.00,1.00,31/12/00,Non,
HC-TOPIC,TOPICREM (S) DA BAUME EMOL VIS&CORP 500ML,Topicrem,000030533,8915.00,16178.00,1.00,0.00,1.00,31/12/00,Non,
HC-TOPIC,TOPICREM AC CRM COMP. 40ML,Topicrem,000024157,5618.00,10200.00,1.00,0.00,1.00,31/12/00,Non,
HC-TOPIC,TOPICREM AC GEL NET PURIF 200ML,Topicrem,000030534,4117.00,7471.00,1.00,0.00,1.00,31/12/00,Non,
HC-TOPIC,TOPICREM AC GEL NET PURIF 400ML,Topicrem,000022489,5296.00,9611.00,1.00,0.00,1.00,31/12/00,Non,
HC-TOPIC,TOPICREM BB LAIT HYDRAT 500ML,Topicrem,000030539,8099.00,14335.00,1.00,0.00,1.00,31/12/00,Non,
HC-TOPIC,TOPICREM GEL NETT DOUCH F/500ML,Topicrem,000024017,5230.00,9491.00,1.00,0.00,1.00,31/12/00,Non,
HC-TOPIC,TOPICREM LAIT ULT HYD DUO 2X500ML (D),Topicrem,000021582,12505.00,22700.00,1.00,0.00,1.00,31/12/00,Non,
HC-TOPIC,TOPICREM MELA CRM NUIT 40ML,Topicrem,000030555,10553.00,19152.00,1.00,0.00,1.00,31/12/00,Non,
HC-TOPIC,TOPICREM STICK LEVRE ULT HYD 4G,Topicrem,000022805,1892.00,3450.00,1.00,0.00,1.00,31/12/00,Non,
HC-URIAG,URIAGE CRM MAIN T/50ML,Uriage,000030706,2867.00,5203.00,1.00,0.00,1.00,31/12/00,Non,
HC-URIAG,URIAGE GEL SURGRAS DERMATO 500ML (S),Uriage,000030709,6712.00,12181.00,1.00,0.00,1.00,31/12/00,Non,
HC-URIAG,URIAGE GYN-PHY GEL INT./200ML,Uriage,000030710,3771.00,6845.00,1.00,0.00,1.00,31/12/00,Non,
HC-URIAG,URIAGE HYSEAC 3-REGUL CRM/40ML (S),Uriage,000030711,5863.00,14400.00,1.00,0.00,1.00,31/12/00,Non,
HC-URIAG,URIAGE LAIT VELOUTE CORPS 500ML (S),Uriage,000030717,8206.00,14892.00,1.00,0.00,1.00,31/12/00,Non,
